Token,Annotation
Abstract:,0
Postpartum,P-Condition
hemorrhage,P-Condition
(PPH),P-Condition
remains,0
a,0
major,0
cause,0
of,0
maternal,P-Condition
morbidity,P-Condition
and,P-Condition
mortality.,P-Condition
While,0
PPH,I-Physical
treatment,I-Physical
guidelines,0
"exist,",0
data,0
on,0
their,0
effect,0
on,0
reduction,I-Physical
in,I-Physical
red,I-Physical
blood,I-Physical
cell,I-Physical
(RBC),I-Physical
transfusions,I-Physical
and,0
use,I-Physical
of,I-Physical
hemostatic,I-Physical
products,I-Physical
are,0
scarce.,0
Continuous,0
evaluation,0
of,0
PPH,I-Physical
management,I-Physical
is,0
important,0
to,0
assess,0
potential,0
pitfalls,0
and,0
incorporate,0
new,0
treatment,0
options.,0
We,0
retrospectively,0
compared,0
PPH,I-Physical
management,I-Physical
and,0
administration,I-Surgical
of,I-Surgical
RBC,I-Surgical
and,I-Physical
hemostatic,I-Physical
products,I-Physical
before,0
and,0
after,0
international,0
guideline,0
implementation.,0
The,0
primary,0
endpoint,0
was,0
RBC,I-Physical
administration,I-Physical
for,I-Physical
PPH.,I-Physical
Secondary,0
endpoints,0
were,0
hemoglobin,I-Physical
trigger,I-Physical
for,I-Physical
RBC,I-Physical
"administration,",I-Physical
administration,I-Physical
of,I-Physical
hemostatic,I-Physical
products,I-Physical
and,I-Physical
surgical,I-Physical
therapies.,0
In,0
total,0
235,P-Sample size
patients,P-Sample size
had,0
a,0
"PPH,",0
59,P-Sample size
in,0
2011,0
and,0
176,P-Sample size
in,0
2018.,0
In,0
"2018,",0
fewer,0
patients,0
received,0
RBC,0
within,0
24,0
h,0
(2018:,0
10%,P-Sample size
vs.,0
2011:,0
"32%,",P-Sample size
p,0
<,0
0.001),0
and,0
24,0
h,0
after,0
delivery,0
(2018:,0
4.5%,P-Sample size
vs.,0
2011:,0
"37%,",P-Sample size
p,0
<,0
0.001).,0
The,0
number,0
of,0
RBC,I-Physical
units,I-Physical
transfused,I-Physical
per,0
case,0
was,0
significantly,0
lower,0
in,0
2018,0
(two,0
vs.,0
four,0
units,0
in,0
"2011,",0
p,0
=,0
0.013).,0
A,0
significantly,0
reduced,0
transfusion,0
of,0
fresh,0
frozen,I-Surgical
plasma,I-Surgical
and,I-Surgical
platelets,I-Surgical
was,0
observed,0
in,0
2018,0
(p,0
<,0
0.001,0
and,0
p,0
=,0
"0.002,",0
respectively).,0
In,0
"2011,",0
additional,0
surgeries,0
for,0
PPH,0
in,0
both,0
the,0
acute,0
and,0
subacute,0
phase,0
were,0
performed,0
more,0
frequently.,0
Local,0
implementation,0
of,0
multidisciplinary,0
PPH,0
guidelines,0
is,0
feasible,0
and,0
was,0
associated,0
with,0
a,0
significant,0
reduction,0
in,I-Surgical
transfused,I-Surgical
blood,I-Surgical
products.,I-Surgical
1.,0
Introduction,0
Postpartum,P-Condition
hemorrhage,P-Condition
(PPH),P-Condition
with,0
a,0
prevalence,0
of,0
up,0
to,0
10%,0
is,0
one,0
of,0
the,0
leading,0
causes,0
of,0
maternal,P-Condition
mortality,P-Condition
"worldwide,",0
with,0
a,0
rate,0
of,0
approximately,0
25%,0
[1–3].,0
In,0
persis-,P-Condition
tent,P-Condition
severe,P-Condition
PPH,P-Condition
(defined,0
as,0
a,P-Condition
blood,P-Condition
loss,P-Condition
of,P-Condition
≥1000,P-Condition
mL,P-Condition
by,0
the,0
World,0
Health,0
Organization),0
complications,0
such,0
as,0
severe,0
"hypovolemia,",0
acute,0
renal,P-Condition
"failure,",P-Condition
"hysterectomy,",P-Condition
admission,0
to,0
an,0
intensive,0
care,0
"unit,",P-Condition
postpartum,P-Condition
"sepsis,",P-Condition
and,P-Condition
maternal,P-Condition
death,P-Condition
are,0
more,0
common,0
[4–6].,0
The,0
transfusion,0
of,I-Surgical
red,I-Surgical
blood,I-Surgical
cells,I-Surgical
(RBC),I-Surgical
is,0
a,0
common,0
treatment,0
for,0
acute,P-Condition
hemorrhage-associated,P-Condition
"anemia,",P-Condition
including,P-Condition
"PPH,",P-Condition
to,0
maintain,0
adequate,P-Condition
tissue,P-Condition
oxygenation,P-Condition
and,P-Condition
perfusion.,P-Condition
"However,",0
it,0
has,0
been,0
shown,0
that,0
blood,I-Surgical
product,I-Surgical
transfusions,I-Surgical
also,0
bear,0
risks,0
and,0
can,0
lead,0
to,0
adverse,O-Adverse effects
"effects,",O-Adverse effects
including,O-Adverse effects
hemolytic,O-Adverse effects
transfusion,O-Adverse effects
"reactions,",O-Adverse effects
transfusion-associated,O-Adverse effects
acute,O-Adverse effects
lung,O-Adverse effects
"injury,",O-Adverse effects
transmission,O-Adverse effects
of,O-Adverse effects
"infections,",O-Adverse effects
ischemic,O-Adverse effects
"events,",O-Adverse effects
multiorgan,O-Adverse effects
"failure,",O-Adverse effects
and,O-Adverse effects
transfusion-associated,O-Adverse effects
circulatory,O-Adverse effects
overload,O-Adverse effects
"[7,8].",0
"Consequently,",0
these,0
risks,0
imply,0
further,0
economic,0
drawbacks,0
to,0
hospitals,0
and,0
health,0
"care,",0
such,0
as,0
additional,I-Educational
surgical,I-Educational
"interventions,",I-Educational
prolonged,I-Educational
hospital,I-Educational
"stays,",I-Educational
and,I-Educational
further,I-Educational
preventable,I-Educational
medication,I-Educational
costs,I-Educational
"[9,10].",0
Studies,0
in,0
medical,0
specialties,0
other,0
than,0
obstetrics,0
have,0
shown,0
the,0
advantage,0
of,0
restrictive,I-Surgical
RBC,I-Surgical
"transfusions,",I-Surgical
including,0
a,0
lower,I-Surgical
hemoglobin,I-Surgical
transfusion,I-Surgical
trigger,I-Surgical
and,I-Surgical
fewer,I-Surgical
RBC,I-Surgical
units,I-Surgical
being,I-Surgical
administered,I-Surgical
[11–13].,0
This,0
led,0
to,0
a,0
more,0
patient-centered,0
use,0
of,0
blood,0
"products,",0
so-called,0
patient,I-Physical
blood,I-Physical
management,I-Physical
(PBM).,I-Physical
PBM,I-Physical
aims,0
to,0
reduce,0
blood,0
"loss,",0
decrease,0
unnecessary,0
use,0
of,0
blood,0
"products,",0
and,0
to,0
identify,0
and,0
treat,0
anemia,0
[14].,0
Several,0
studies,0
have,0
demonstrated,0
the,0
beneficial,0
outcomes,0
of,0
PBM,0
implementation,0
[15].,0
PBM,0
practices,0
impact,0
blood,0
loss,0
and,0
transfusion,0
needs,0
and,0
reduce,0
"mortality,",0
perioperative,O-Physical
"morbidity,",O-Physical
hospital,O-Physical
"stay,",O-Physical
and,O-Physical
costs,O-Physical
[16].,0
Although,0
there,0
are,0
known,0
risk,0
factors,0
for,0
"PPH,",0
including,0
placenta,O-Adverse effects
previa,O-Adverse effects
and,O-Adverse effects
previous,O-Adverse effects
"PPH,",O-Adverse effects
up,O-Adverse effects
to,O-Adverse effects
two-thirds,O-Adverse effects
of,O-Adverse effects
women,O-Adverse effects
with,O-Adverse effects
a,O-Adverse effects
PPH,O-Adverse effects
have,O-Adverse effects
no,O-Adverse effects
known,O-Adverse effects
risk,O-Adverse effects
factors,O-Adverse effects
"[5,6,17,18].",0
Iron,0
deficiency,P-Condition
anemia,P-Condition
(IDA),0
occurs,0
in,0
almost,0
7%,P-Sample size
of,0
all,0
pregnant,P-Condition
women,P-Sex
and,0
can,0
be,0
treated,0
during,0
pregnancy,P-Condition
[19].,0
Women,P-Sex
with,0
IDA,P-Condition
are,0
at,0
greater,0
risk,0
for,0
peripartum,P-Condition
RBC,P-Condition
administration,I-Surgical
[20].,0
In,0
"2012,",0
the,0
obstetric,0
societies,0
of,0
"Switzerland,",0
"Germany,",0
and,0
Austria,0
developed,0
a,0
common,0
PPH,0
management,0
guideline,0
based,0
on,0
expert,0
"consensus,",0
which,0
was,0
developed,0
with,0
specialists,0
from,0
"obstetrics,",0
"anesthesia,",0
and,0
intensive,0
care,0
medicine,0
to,0
provide,0
stan-,0
dardized,0
management,0
of,0
PPH.,0
This,0
guideline,0
includes,0
pre-defined,I-Surgical
surgical,I-Surgical
and,I-Surgical
medical,I-Surgical
interventions,I-Surgical
and,0
recommendations,0
on,0
patient,I-Physical
blood,I-Physical
management,I-Physical
[21].,0
The,0
obstetric,0
societies,0
conjointly,0
amended,0
this,0
guideline,0
in,0
"2016,",0
including,0
updates,0
on,0
blood,0
loss,0
mea-,0
"surement,",0
hemostatic,0
"treatment,",0
and,0
tranexamic,0
acid,0
administration,0
[6].,0
Less,0
is,0
known,0
about,0
the,0
effectiveness,0
of,0
this,0
2016,0
update,0
in,0
the,0
reduction,0
in,0
blood,0
product,0
transfusion,0
after,0
implementation.,0
PPH,I-Physical
management,I-Physical
should,0
be,0
reviewed,0
on,0
a,0
regular,0
basis,0
to,0
allow,0
for,0
improvement,0
of,0
existing,0
guidelines,0
and,0
inclusion,0
of,0
new,0
treatment,0
options.,0
This,0
study,0
aimed,0
to,0
analyze,0
the,0
impact,0
of,0
implementing,0
PPH,I-Physical
management,I-Physical
guidelines,0
on,0
a,0
departmental,0
"level,",0
specifically,0
its,0
impact,0
on,0
blood,0
product,0
transfusions,0
and,0
use,0
of,0
hemostatic,I-Physical
products.,I-Physical
2.,0
Materials,0
and,0
Methods,0
2.1.,0
Study,0
Design,0
This,0
retrospective,0
before,0
and,0
after,0
observational,0
study,0
was,0
performed,0
at,0
the,0
Depart-,0
ment,0
of,0
Obstetrics,0
at,0
the,0
University,0
Hospital,0
of,0
"Bern,",0
a,0
tertiary,0
care,0
center.,0
The,0
primary,0
endpoint,0
was,0
defined,0
as,0
RBC,0
administration,0
for,0
PPH.,0
Secondary,0
endpoints,0
included,0
the,0
estimated,0
hemoglobin,0
trigger,0
for,0
RBC,0
"administration,",0
administration,0
of,0
fresh,0
frozen,I-Surgical
plasma,I-Surgical
(FFP),I-Surgical
and,0
platelet,I-Surgical
concentrates,I-Surgical
"(PC),",I-Surgical
use,0
of,I-Physical
hemostatic,I-Physical
"products,",I-Physical
and,0
peripartal,I-Physical
"outcomes,",I-Physical
including,I-Physical
medical,I-Physical
and,I-Physical
surgical,I-Physical
PPH,I-Physical
treatments.,I-Physical
2.2.,0
Patient,0
Population,0
and,0
Inclusion,0
Criteria,0
We,0
included,0
women,P-Sex
who,0
delivered,P-Condition
at,P-Condition
our,P-Condition
hospital,P-Condition
in,0
2011,0
and,0
2018,0
with,P-Condition
a,P-Condition
PPH.,P-Condition
PPH,P-Condition
was,0
defined,0
as,0
blood,P-Condition
loss,P-Condition
of,P-Condition
≥500,P-Condition
mL,P-Condition
after,P-Condition
vaginal,P-Condition
delivery,P-Condition
and,P-Condition
≥1000,P-Condition
mL,P-Condition
after,P-Condition
Cesarean,P-Condition
section,P-Condition
(CS),P-Condition
[6].,0
We,0
defined,0
severe,P-Condition
PPH,P-Condition
as,P-Condition
a,P-Condition
blood,P-Condition
loss,P-Condition
of,P-Condition
≥1500,P-Condition
mL,P-Condition
in,P-Condition
the,P-Condition
acute,P-Condition
phase,P-Condition
(within,0
24,0
h,0
after,0
delivery).,0
To,0
quantify,0
blood,0
"loss,",0
blood-soaked,0
pads,0
were,0
weighed,0
in,0
cases,0
of,0
vaginal,0
delivery.,0
In,0
cases,0
of,0
"CS,",0
blood,0
loss,0
was,0
measured,0
in,0
the,0
suction,0
chamber.,0
To,0
ensure,0
all,0
patients,0
with,0
a,0
PPH,0
were,0
included,0
in,0
our,0
"analysis,",0
we,0
screened,0
our,0
database,0
using,0
the,0
following,0
search,0
criteria:,0
postpartum,P-Condition
"hemorrhage,",P-Condition
uterine,P-Condition
"atony,",P-Condition
peripartal,P-Condition
blood,P-Condition
loss,P-Condition
of,P-Condition
at,P-Condition
least,P-Condition
500,P-Condition
"mL,",P-Condition
placenta,P-Condition
"previa,",P-Condition
placenta,P-Condition
"accrete/increta/percreta,",P-Condition
Bakri,P-Condition
Balloon,P-Condition
(Cook,0
"medical,",0
"Bloomington,",0
"IN,",0
"USA),",0
and,0
red,P-Condition
blood,P-Condition
